IPLAUKU_DATA;SALTINIO_PAV;IMOKOS_KODAI;APRASYMAS;SUMA
30-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";398009.56
14-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";783118.81
13-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";289959.86
13-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";374686.21
13-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1470.98
28-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";696685.81
16-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2738588.27
16-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";36656.04
11-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2760.72
11-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";510910.74
11-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";349533
31-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";403874.85
09-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1184472.38
12-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";33666.57
12-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";263248.59
12-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";161868.23
29-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";671399.75
26-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";291770.51
03-FEB-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";414652.79
21-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";529672.54
12-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";232977.79
13-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";141090.56
13-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";37007.26
13-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";184253.29
13-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";600113.21
13-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";259032.94
12-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";65630.18
12-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";515676.92
23-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";215236.62
06-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";957012.69
30-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";261000.47
08-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";502314.72
13-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";720873.06
11-FEB-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";546714.93
02-FEB-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";512725.61
11-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";353592.15
08-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";399005.51
21-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";399268.74
05-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";420
05-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";696333.01
07-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1137377.45
06-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";690198.39
06-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";703.5
22-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";350244.56
21-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";215430.33
20-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";185100.04
20-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";302989.1
20-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";793849.78
11-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";589166.26
07-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";353606.29
18-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";812895.39
18-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";62409.95
12-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1135052.14
05-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";4144.86
05-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";54719.82
05-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";49580.69
05-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";120537.82
05-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";101934.98
05-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";5535.28
05-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";56827.96
29-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";174603.77
07-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1179131.4
29-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1298721.49
27-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";260151.57
27-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";640581.96
12-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";949504.62
05-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";182245.63
10-FEB-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";1001945.23
