SISTEMINIS_NUMERIS;DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA
7651;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-1685/15(2.1.4E-SR7);2015;25-SEP-15;24-SEP-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-1685/15(2.1.4E-SR7) 2015-09-25";2823.8
7652;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-1685/15(2.1.4E-SR7);2015;25-SEP-15;24-SEP-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-1685/15(2.1.4E-SR7) 2015-09-25";2823.8
7653;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-1685/15(2.1.4E-SR7);2015;25-SEP-15;24-SEP-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-1685/15(2.1.4E-SR7) 2015-09-25";2850
7654;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-1685/15(2.1.4E-SR7);2015;25-SEP-15;24-SEP-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-1685/15(2.1.4E-SR7) 2015-09-25";2823.8
7655;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-1685/15(2.1.4E-SR7);2015;25-SEP-15;24-SEP-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-1685/15(2.1.4E-SR7) 2015-09-25";2850
7656;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-1685/15(2.1.4E-SR7);2015;25-SEP-15;24-SEP-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-1685/15(2.1.4E-SR7) 2015-09-25";2850
7657;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-1685/15(2.1.4E-SR7);2015;25-SEP-15;24-SEP-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-1685/15(2.1.4E-SR7) 2015-09-25";2850
7658;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-1685/15(2.1.4E-SR7);2015;25-SEP-15;24-SEP-17;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti  Nr. A15-1685/15(2.1.4E-SR7) 2015-09-25";2823.8
7663;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A68-20/15(3.10.23-AD4);2015;10-SEP-15;15-OCT-15;"UAB Adoria IT";302556073;"Nešiojamo kompiuterio pirkimas";596.71
7667;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";29-16(1.2.16-AD4);2014;16-JAN-14;31-DEC-15;"Registrų centras, VĮ";124110246;"Registrų centro paslaugų sutartis";
7668;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-1124/15(3.1.36-AD4);2015;22-SEP-15;05-SEP-16;"Lentvario komunalinis ūkis, UAB";181382772;"Mokėjimų atidėjimo ir išdėstymo sutartis";26590.54
7677;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A62-30(3.10.21-EK);2013;23-JUL-13;31-DEC-15;"Vizualinių komunikacijų studija, VšĮ";124631861;"Sutartis A62-30(3.10.21-EK) paviljonas Maironio-Aukštaičių sankryža";142348.24
7701;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A62-95/15(3.10.21-AD4);2015;13-OCT-15;30-NOV-15;"Trajana, UAB";300592932;"Smulkus šaligatvių, kietų dangų, laiptų ir turėklų remontas.";3850.83
7665;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";30-1852;2012;27-SEP-12;27-SEP-17;"Viršuliškių būstas, UAB";121446576;"AD įsakymas dėl administratoriaus skyrimo";
