SISTEMINIS_NUMERIS;DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA
4667;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-501-(2.1.4-SR7);2013;07-MAR-13;06-MAR-15;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti Nr. A15-501-(2.1.4-SR7) 2013.03.07.";.01
4665;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-13792;2013;12-APR-13;31-DEC-15;"Mano Būstas Vilnius (Naujamiesčio būstas), UAB";121452091;"skolos peremimas Grinda A72-2189(3.1.36-UK) 2011.12.29 3370";1025541.76
4668;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Tvar.com, UAB";300730461;"Kompensacija Sausio 13 nukentėjusiems";101367.01
489;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";KO1/2010-4;2010;19-JAN-10;19-JAN-09;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos Santariškių g.";
6473;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A64-221/14;2014;18-DEC-14;18-DEC-15;"Lietuvos žinios, UAB";122220740;"Dėl parduodamų ir nuomojamų objektų sąrašo paskelbimo";
4666;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-13792/1;2013;12-APR-13;31-DEC-15;"Mano Būstas Vilnius (Naujamiesčio būstas), UAB";121452091;"skolos peremimas Grinda A72-2183(3.1.36-UK) 2011.12.29 3366";573726.51
507;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";KO1/2010-8;2010;11-FEB-10;11-FEB-09;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos sutarties Santariškių g.";
497;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";29-15(1.2.16-AD4);2010;21-JAN-10;01-JAN-99;"BĮ ""Vilniaus miesto socialinės paramos centras""";190997565;"atsiskaitymo už saltą vandenį ir elektros energiją";
496;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";29-11(1.2.16-AD4);2010;12-JAN-10;11-JAN-99;"Naujosios Vilnios kultūros centras";188210145;"kompensavimo sutartis";
483;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";Ko1/2010-1;2010;07-JAN-10;07-JAN-09;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos Maironio g.(Sereikiškių parkas ir bernardinų sodas)";
484;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";KO1/2010-2;2010;15-JAN-10;15-JAN-76;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos L. Asanavičiūtės g. 2";
485;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";KO1/2010-3;2010;15-JAN-10;15-JAN-09;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos sutarties 3762 kv. m";
3481;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Vilkpėdės būstas, UAB";121480265;"Kompensacijos Sausio 13 nukentėjusiems";101367.01
3487;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-722(3.1.36-SR);2011;01-APR-11;31-MAR-10;"Almos Adamianecienės šeimyna";302562037;"Ilgalaikės (trumpalaikės) socialinės globos paslaugų likusiems be tėvų globos vaikams teikimo sutartis";915778.5
3489;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-5467;2012;21-FEB-12;31-DEC-15;"Fegda, UAB";110801759;"sutarties UAB ""Grinda"" A72-964(3.1.36-UK) 2010.11.15 2334 peremimas";85709.6
3490;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-5467/1;2012;21-FEB-12;31-DEC-15;"Fegda, UAB";110801759;"sutarties UAB ""Grinda"" A72-1170(3.1.36-UK) 2011.06.10 2744 peremimas";88789.87
3491;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-5467/2;2012;21-FEB-12;31-DEC-15;"Fegda, UAB";110801759;"sutarties UAB ""Grinda"" A72-1175(3.1.36-UK) 2011.06.10 2674";69620.76
3298;"Vilniaus miesto savivaldybės administracija";"Finansavimo sutartis";A72-1921(3.1.39-SR);2011;22-NOV-11;22-NOV-15;"Šv. Roko ligoninė, Viešoji įstaiga";224369680;"lėšų skyrimo sutartis";40373.03
3299;"Vilniaus miesto savivaldybės administracija";"Finansavimo sutartis";A72-2120(3.1.36-SR);2011;21-DEC-11;21-DEC-15;"Lazdynų poliklinika, VšĮ";224245280;"lėšų skyrimo sutartis";20273.4
3300;"Vilniaus miesto savivaldybės administracija";"Finansavimo sutartis";A72-2099(3.1.36-SR);2011;19-DEC-11;19-DEC-15;"Šeškinės poliklinika, VŠĮ";124245660;"lėšų skyrimo sutartis";37650.6
3492;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-5467/3;2012;21-FEB-12;31-DEC-15;"Fegda, UAB";110801759;"sutarties UAB ""Grinda"" A72-1167(3.1.36-UK) 2011.06.09 2672";152158.17
3277;"Vilniaus miesto savivaldybės administracija";"Finansavimo sutartis";A72-2066(3.1.36-SR);2011;15-DEC-11;15-DEC-15;VMUL;124245094;"LEŠŲ SKYRIMO SUTARTIS";144810.01
3278;"Vilniaus miesto savivaldybės administracija";"Finansavimo sutartis";A72-2067(3.1.36-SR);2011;15-DEC-11;15-DEC-15;"Centro poliklinika";125873515;"LĘŠŲ SKYRIMO SUTARTIS";28962
3524;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-22(3.10.22-AP);2012;23-FEB-12;22-FEB-15;"Atliekų tvarkymo tarnyba, UAB";186457887;"Komunalinių atliekų išvežimas iš romų gyvenamosios teritorijos S. Dariaus ir S. Girėno gatvėje";43443.02
3715;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-10258;2012;06-APR-12;31-DEC-15;"Vilniaus viešasis transportas, UAB";302683277;"sutarties perėmimas A72-69(3.1.36-FN4) 2012.02.17 PU3714";13452986.37
3716;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-13392;2012;09-MAY-12;31-DEC-15;"Vilniaus šilumos tinklai, AB";124135580;"sutarties dalies perėmimas A50-10258 2012.04.06 PU3715";1737720.11
3717;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A121-12026(3.1.29-UK);2012;23-MAY-12;31-DEC-15;"Fegda, UAB";110801759;"sutarties dalies perėmimas A62-37(3.10.21-UK) 2011.05.27 PU2686";41896.46
3718;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";"A121-12026(3.1.29- UK)";2012;23-MAY-12;31-DEC-15;"Eurovia Lietuva";121949798;"sutarties dalies perėmimas A62-37(3.10.21-UK) 2011.05.27 PU2686";397533.25
3553;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"375 DNS Bendrija";125115157;"Kompensacijos Sausio 13 nukentėjusiems";101367.01
1677;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";KO1/2010-37a;2010;04-JUN-10;04-JUN-09;"Vilniaus apskrities viršininko administracija";188601845;"dėl žemės panaudos sutarties K. Kalinausko g. 4a";7.24
1572;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";Ko1/2010-18;2010;19-APR-10;19-APR-74;"Vilniaus apskrities viršininko administracija";188601845;"Žemės panaudos sutartis Sietyno g. 21";
1562;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-74(3.1.36-SR2);2010;29-JAN-10;09-JAN-10;"Valstybinis mokslinio tyrimų institutas Inovatyvios medicinos centras";302877556;"Ilgalaikės (trumpalaikės) socialinės globos paslaugos";780728.68
1662;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";K01/2010-30;2010;26-MAY-10;26-MAY-70;"Vilniaus apskrities viršininko administracija";188601845;"dėl žemės panaudos T. Ševčenkos g.1/ Mindaugo g. 9";7.24
1728;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-2444;2010;02-FEB-10;31-DEC-15;Labradoras;120102832;"Skolos perimimas";100530.29
1664;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";K01/2010-31;2010;27-MAY-10;16-MAY-99;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos Kauno g. 7";7.24
1665;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";31N01/2000-22865;2010;27-MAY-10;16-MAY-99;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos Kauno g. 7";7.24
1577;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";29-13(1.2.16-104);2010;13-JAN-10;31-DEC-15;"UniCredit Bank AS LT";300631470;"Įspėjimas apie skolos perimima";660333.64
1578;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-7850;2010;02-APR-10;31-DEC-15;"Aketonas, UAB";300534733;"Įspėjimas apie skolos perimima";12164.04
1580;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";111667277;2010;01-JAN-10;31-DEC-15;"Nordea finance Lithuania, UAB";111667277;"Įspėjimas apie skolos perimima";
1581;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";111667277/1;2010;01-JAN-10;31-DEC-15;"Nordea finance Lithuania, UAB";111667277;"Įspėjimas apie skolos perimima";
1582;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";111667277/2;2010;01-JAN-10;31-DEC-15;"Nordea finance Lithuania, UAB";111667277;"Įspėjimas apie skolos perimima";
1675;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";Ko1/2010-37;2010;03-JUN-10;03-JUN-67;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos Pakraščio g. 15";7.24
1748;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1445;2010;18-JUN-10;18-JUN-15;"Labdaros ir paramos fondas V.Kudirkos vardui įamžinti";19204617;"Galutinai atsiskaityti su paminklo Lietuvos himnui ir jo autoriui Vincui Kudirkai kūrėjais";34464.78
1753;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-64(3.1.36-SR);2010;29-JAN-10;30-JAN-09;"Marijampolės specialieji globos namai";300663201;"ILGALAIKĖS (TRUMPALAIKĖS) SOCIALINĖS GLOBOS IŠLAIDŲ KOMPENSAVIMO SUTARTIS";775776.18
1754;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-150(3.1.36-SR);2010;16-MAR-10;16-MAR-09;"Šv.Juozapo globos namai, VšĮ";148509129;"ILGALAIKĖS (TRUMPALAIKĖS) SOCIALINĖS GLOBOS IŠLAIDŲ KOMPENSAVIMO SUTARTIS";775776.18
1628;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";K01/2010-27;2010;12-MAY-10;12-MAY-68;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos sutarties žolyno g. 44";7.24
2089;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-25720;2010;08-NOV-10;31-DEC-15;"Bankrutuojanti akcinė bendrovė bankas Snoras";112025973;"Skolos perleidimo sutartis su SNORU ir VMSA del VGAET A72-888(3.1.36-FN4)";997858.55
2090;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-24371;2010;21-OCT-10;31-DEC-15;"Bankrutuojanti akcinė bendrovė bankas Snoras";112025973;"Skolos perleidimo sutartis su SNORU ir VMSA del UAB Stebulė A72-863(3.1.36-FN4)";2669187.35
1869;"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";VNT9465/S;2010;21-JUL-10;01-JAN-99;"Kertinis valstybės telekomunikacijų centras, BĮ (Infostruktūra)";121738687;"SVDPT sutarties pakeitimas";2027.34
1985;"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";A72-887(3.1.36-SR);2010;13-OCT-10;01-JAN-15;"Vilniaus energija, UAB";111760831;"Susitarimas dėl skolos sumokėjimo";567616.56
2286;"Vilniaus miesto savivaldybės administracija";"Bendra sutartis";A15-3324-(2.1.4-UK);2010;21-DEC-10;21-DEC-15;"Grinda, UAB";120153047;"Alėjos tarp Arklių g. ir Visų Šventųjų g. dangos sutvarkymo darbai";204953.37
2249;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"VSA Vilnius, UAB";220074960;"Kompensacijos Sausio 13 nukentėjusiems";101367.01
2250;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"360-oji DNSB";225237920;"Kompensacijos Sausio 13 d. nukentėjusiems";101367.01
2251;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Būsto renovacijos agentūra, UAB";300599670;"Kompensacijos Sausio 13 d. nukentėjusiems";101367.01
2285;"Vilniaus miesto savivaldybės administracija";Įsakymas;A15-3323-(2.1.4-UK);2010;21-DEC-10;21-DEC-15;"Grinda, UAB";120153047;"Birutės gatvės rekonstrukcijos darbai";92657.77
2202;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Mano Būstas Vilnius (Naujamiesčio būstas), UAB";121452091;"Kompensacijos Sausio 11-13 d. nukentėjusiems";101367.01
2116;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"UAB Dori Darbai";302342799;"Kompensacijos sausio 11-13 d. dalyviam";101367.01
2463;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-6155/2;2011;17-MAR-11;31-DEC-15;"Bankrutuojanti akcinė bendrovė bankas Snoras";112025973;"Skolos peremimo sutartis 2460; A62-59(3.10.21-UK)/1970";5993.43
2464;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-6155/3;2011;17-MAR-11;31-DEC-15;"Bankrutuojanti akcinė bendrovė bankas Snoras";112025973;"Skolos peremimo sutartis 2460; A72-964(3.1.36-UK)/2334";23400.23
2502;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-51-(3.1.36-SR);2011;25-JAN-11;24-JAN-10;"Vilkpėdės ligoninė, VŠĮ";124245322;"ILGALAIKĖS (TRUMPALAIKĖS) SOCIALINĖS GLOBOS IŠLAIDŲ KOMPENSAVIMO SUTARTIS";922613.53
2590;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"73-oji DNSB Viršuliškės";225119740;"Kompensacijos Sausio 13 nukentėjusiems";101367.01
2591;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"DN Architektų g. Nr.67 SB";300642730;"Kompensacijos Sausio 13 nukentėjusiems";101367.01
2592;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"225-oji DNSB ""JUNA""";125114240;"Kompensacijos Sausio 13 nukentėjusiems";101367.01
2593;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"373-oji DNSB";124776718;"Kompensacijos Sausio 13 nukentėjusiems";101367.01
2594;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Vilniaus energija, UAB";111760831;"Kompensacijos Sausio 13 nukentėjusiems";101367.01
2446;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Laisvės 39-oji DNSB";302508281;"Kompensacijos Sausio 13 nukentėjusiems";101367.01
2447;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Mano Būstas Neris (Žirmūnų būstas), UAB";121483222;"Kompensacijos Sausio 13 nukentejusiems";101367.01
2448;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"354-oji DNSB ""Žalgiris""";125115538;"Kompensacijos Sausio 13 nukentejusiems";101367.01
2449;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Naujoji Pilaitė, UAB";121483560;"Kompensacijos Sausio 13 nukentejusiems";101367.01
2450;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"76-oji DNSB";224796020;"Kompensacijos Sausio 13 nukentejusiems";101367.01
2451;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"99-oji DNSB ""Fabija""";124793062;"Kompensacijos Sausio 13 nukentejusiems";101367.01
2453;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"UAB Mano Būstas NPC (Namų priežiūros centras,UAB)";125596783;"Kompensacijos Sausio 13 nukentejusiems";101367.01
2454;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Pašilaičių būstas, UAB";121474935;"Kompensacijos Sausio 13 nukentejusiems";101367.01
2455;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Adminsta, UAB";125958499;"Kompensacijos Sausio 13 nukentejusiems";101367.01
2456;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Naujininkų ūkis, UAB";121458016;"Kompensacijos Sausio 13 nukentejusiems";101367.01
2381;"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";A64-3(3.10.22-AD2);2010;13-JAN-10;31-DEC-15;"Atliekų tvarkymo tarnyba, UAB";186457887;"papildomas susitarimas";556.07
2474;"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";A64-17(3.10.22-FN4);2011;07-MAR-11;07-MAR-15;"Industry service center, UAB";135885398;"Vertimo paslaugų pirkimo  sutarties pratęsimas 1522";
2604;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"116-oji DNSB ""Ateitis""";125113334;"Kompensacija sausio 13 nukentėjusiems";101367.01
2605;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"UAB Mano būstas Sostinė";121457971;"Kompensacija sausio 13 nukentėjusiems";101367.01
2606;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Vilniaus vandenys, UAB";120545849;"Kompensacija sausio 13 nukentėjusiems";101367.01
2607;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Viršuliškių būstas, UAB";121446576;"Kompensacija sausio 13 nukentėjusiems";101367.01
2608;"Vilniaus miesto savivaldybės administracija";Įsakymas;30;2010;05-MAY-10;;"Laisvės 39-oji DNSB";302508281;Klaida;101367.01
2461;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-6155;2011;17-MAR-11;31-DEC-15;"Bankrutuojanti akcinė bendrovė bankas Snoras";112025973;"Skolos peremimo sutartis 2460; A62-34-(3.10.21-UK)/1840";696555.84
2462;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-6155/1;2011;17-MAR-11;31-DEC-15;"Bankrutuojanti akcinė bendrovė bankas Snoras";112025973;"Skolos peremimo sutartis 2460; 14-171/338";1793747.23
2597;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-926(3.1.36-SM);2011;29-APR-11;28-APR-25;"Gyventojų registro tarnyba prie LR VRM";188756767;"Asmens duomenų teikimo sutartis";
2673;"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";A72-1266(3.1.37-UK);2011;29-JUN-11;29-JUN-15;"Grinda, UAB";120153047;"Priedas prie 2011-06-09 darbų atlikimo sutarties A72-1167";
2677;"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";A72-1267(3.1.37-UK);2011;29-JUN-11;29-JUN-15;"Grinda, UAB";120153047;"Papildomas susitarimas prie 2011-06-10 sutarties Nr. A72-1175(3.1.36-UK)";
2758;"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";A64-108;2011;31-AUG-11;31-AUG-15;"Eismo sauga, UAB";144128419;"Sutarties A64-129 pratęsimas";
2735;"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";A62-90(3.10.21-UK);2011;12-AUG-11;12-AUG-15;"YIT Lietuva (prie UAB YIT Kausta prijungta YIT Infra Lietuva), UAB";133556411;"Sutarties 2010-08-26 Nr. A62-51  pratęsimas";
2896;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Antakalnio būstas, UAB (Antakalnio ūkis, UAB)";121449152;"Kompensacijos Sausio 13 d. nukentėjusiems";101367.01
2897;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Šilėja, UAB";121462961;"Kompensacijos nukentėjusiems nuo Sausio 13d.";101367.01
2898;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Telia Lietuva, AB";121215434;"Kompensacijos Sausio 13 d. nukent4jusiems";101367.01
2724;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Fabeta, UAB";121452287;"Kompensacija Sausio 13 nukentėjusiems";101367.01
2939;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"487-oji DNSB";124772997;"Kompensacijos nukentėjusiems nuo sausio 11-13d.";101367.01
3066;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Grinda, UAB";120153047;"Kompensacija Sausio 13 nukentėjusiems";101367.01
3067;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"UAB ""Švarus miestas""";124079391;"Kompensacijos Sausio 13 nukentėjusiems";101367.01
3068;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"551-oji DNSB";124780378;"Kompensacijos Sausio 13 nukentėjusiems";101367.01
3069;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"DN L.Asanavičiūtės 46 SB";300141356;"Kompensacijos Sausio 13 nukentjusiems";101367.01
3188;"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";A62-131(3.10.21-UK);2011;24-NOV-11;24-NOV-15;"Vizualinių komunikacijų studija, VšĮ";124631861;"Vilniaus miesto informacinių nuorodų įrengimas";115848.01
3081;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-28008/2;2011;28-OCT-11;31-DEC-15;"Fegda, UAB";110801759;"Sutarties  UAB ""Grinda"" A-72-1170 2011.06.10 2744 perėmimo sutartis";265548.67
3082;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-28008/3;2011;28-OCT-11;31-DEC-15;"Fegda, UAB";110801759;"Sutarties UAB ""Grinda"" A72-1175 2011.06.10 2674 perėmimo sutartis";107873.63
3083;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-28008/4;2011;28-OCT-11;31-DEC-15;"Fegda, UAB";110801759;"Sutarties UAB ""Grinda"" A72-1167 2011.06.09 2672 perėmimo sutartis";58577.66
3084;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-28008/5;2011;28-OCT-11;31-DEC-15;"Fegda, UAB";110801759;"Sutarties UAB ""Grinda"" A72-964 2010.11.15 2334 perėmimo sutartis";96822.82
3085;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-28008/6;2011;28-OCT-11;31-DEC-15;"Fegda, UAB";110801759;"Sutarties UAB ""Grinda"" A72-1141 2011.06.01 2743 perėmimo sutartis";2540.14
3206;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-1949(3.1.36-SR);2011;28-NOV-11;28-NOV-10;"Gemma sveikatos centras, UAB";301240955;"Ilgalaikės (trumpalaikės) socialinės globos išlaidų kompensavimo sutartis";1276876.74
3208;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";"Spr. 2011-07-13 Nr. 1-140";2011;13-JUL-11;31-DEC-15;"Grinda, UAB";120153047;"Sutarties perimimas UAB ""Avarija"" A62-20(3.10.21-UK)";28962
3223;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"Nr. 14-272";2011;07-DEC-11;07-DEC-18;"Vilniaus planas, SĮ";123615345;"Teritorijų planavimo dokumentų, techninių projektų, geografinės informacinės sistemos palaikymas ir plėtra";
3226;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Lazdynų butų ūkis, UAB";121449348;"Nukentėjusiems nuo Sausio 13";101367.01
3227;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";14-272;2011;07-DEC-11;07-DEC-18;"Vilniaus planas, SĮ";123615345;"Paslaugų teikimo sutartis (pagal 2011-11-23 sprendimą Nr.312 ""Dėl paslaugų pirkimo iš SĮ""Vilniaus planas""";
3097;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";1-140/1;2011;13-JUL-11;31-DEC-15;"Grinda, UAB";120153047;"VMST 2011-07-13 sprendimas Nr. 1-140 Dėl uždarųjų akcinių bendrovių ""Grinda"", ""Akvalangas"", ir Avarija"" reorganizavimo, Orentacinė 12 mėnesių kaina 349995,38 (su teise pratęsti sutartį dar 12 mėn., bet ne ilgiau kaip 36 mėn";101365.67
3098;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";1-140/2;2011;13-JUL-11;31-DEC-15;"Grinda, UAB";120153047;"VMST 2011-07-13 sprendimas Nr. 1-140 Dėl uždarųjų akcinių bendrovių ""Grinda"", ""Akvalangas"", ir Avarija"" reorganizavimo, 800000,00 (sutartis galioja iki 2011-12-31";231696.01
3126;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-990(3.1.36-AD12);2011;29-APR-11;28-APR-25;"Gyventojų registro tarnyba prie LR VRM";188756767;"Dėl 2007 m. rugpjūčio 7 d. asmens duomenų teikimo sutarties Nr. 29GRT-S-860/A72-911(10.13-EMD-0)";
3328;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";"Nr. 1-140";2011;13-JUL-11;31-DEC-15;"Grinda, UAB";120153047;"VMST 2011-07-13 sprendimas Nr. 1-140 Dėl uždarųjų akcinių bendrovių ""Grinda"", ""Akvalangas"", ir Avarija"" reorganizavimo Sutarties 3 metų vertė neturi viršyti 300000,00 Lt (sutarties trukmė ne ilgesnė kaip 36 mėnesiai)";86886.01
3360;"Vilniaus miesto savivaldybės administracija";"Bendra sutartis";"14-266 (sprendimas)1-223";2011;21-SEP-11;21-SEP-15;"Vilniaus troleibusai, UAB";120125788;;
3450;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A64-7(3.10.22-SR);2012;30-JAN-12;29-JAN-15;"Zenon Stupenko firma";123331149;"MAUDYMOSI PASLAUGŲ SOCIALIAI REMTINIEMS ASMENIMS TEIKIMO SUTARTIS";550509.73
3334;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Rasų valda, UAB";121475275;"Kompensacija Sausio 13 nukentėjusiems";101367.01
3335;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"350-oji DNSB";124792875;"Kompensacijos sausio 13 nukentėjusiems";101367.01
3336;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"203-oji DNSB";124793824;"Kompensacijos Sausio 13 nukentėjusiems";101367.01
