SASKAITOS_METAI;KREDITORIUS;KREDITORIAUS_NR;SUTARTIES_NR;SASKAITOS_DATA;SASKAITOS_NR;DK_DATA;TERMS_DATE;TREMINAS;VALIUTA;INVOICE_TYPE_LOOKUP_CODE;FIN_SALTINIS;PRIEMONE;SAMATA;EKON_KLAS;ASIGNAV_VALDYTOJAS;ASIGN_VALD_APRASAS;EILUTES_SUMA;APMOKETA_SUMA;SKOLOS_SUMA;SKOLOS_SUMA_ES;DEPARTAMENTAS
2022;"ESO, AB (Energijos skirstymo operatorius, AB)";304151376;;30-JUN-22;"EASS 02351554";30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000153;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;109.67;0;109.67;;"Vilniaus suaugusiųjų mokymo centras EUR"
2022;"ESO, AB (Energijos skirstymo operatorius, AB)";304151376;;30-JUN-22;"EASS 02351554";30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;01;201010102;4000151;2.2.1.1.1.20.2.;188710061;"Savivaldybės administracija";895.27;370.53;524.74;;"Vilniaus Atgajos specialioji mokykla EUR"
2022;"Energijos tiekimas UAB";302449388;;30-JUN-22;EASS02351554;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201030102;4000011;2.2.1.1.1.20.2.;188710061;"Savivaldybės administracija";355.14;0;355.14;;"Vilniaus lopšelis-darželis ""Jovarėlis"" EUR"
2022;"ESO, AB (Energijos skirstymo operatorius, AB)";304151376;;30-JUN-22;EASS02351554;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201030102;4000011;2.2.1.1.1.20.2.;188710061;"Savivaldybės administracija";363.62;0;363.62;;"Vilniaus lopšelis-darželis Varpelis EUR"
2022;"ESO klientas";001059;;30-JUN-22;EASS02351554;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;01;201030105;4000115;2.2.1.1.1.20.2.;188710061;"Savivaldybės administracija";285.97;72.52;213.45;;"Vilniaus „Vyturio“ pradinė mokykla EUR"
2022;"Kilobaitas, UAB";135198984;;30-JUN-22;"EMA 0009911";30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;0205;201010101;4001456;2.2.1.1.1.21.;0000000;Nedetalizuojama;2268;0;2268;;"Vilniaus suaugusiųjų mokymo centras EUR"
2022;"UAB Headline Agency";301163601;;30-JUN-22;GDI263;30-JUN-22;30-JUN-22;"20 dienų";EUR;STANDARD;2M21;203010302;6000797;2.2.1.1.1.30.K.;188710061;"Savivaldybės administracija";1355.2;0;1355.2;;"Vilniaus miesto savivaldybės visuomenės sveikatos biuras EUR"
2022;"UAB Headline Agency";301163601;;30-JUN-22;GDI263/1;30-JUN-22;30-JUN-22;"20 dienų";EUR;STANDARD;11;203010309;VR10104;2.2.1.1.1.30.K.;188710061;"Savivaldybės administracija";580.8;0;580.8;;"Vilniaus miesto savivaldybės visuomenės sveikatos biuras EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;INI131101;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;01;203010302;6000795;2.2.1.1.1.20.1.;188710061;"Savivaldybės administracija";7.43;0;7.43;;"Vilniaus miesto savivaldybės visuomenės sveikatos biuras EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;INI146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000153;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;969.27;0;969.27;;"Vilniaus suaugusiųjų mokymo centras EUR"
