KODAS;PAVADINIMAS;GALIOJA;SUMINE;SUKURIMO_DATA;MODIFIKAVIMO_DATA
1000049;"Socialinių išmokų ir kompensacijų administravimas (Socialinių išmokų skyrius)";Y;N;13-JUL-11;27-JAN-14
1000050;Nenaudojama;Y;N;20-NOV-07;19-SEP-19
1000051;"Kompiuterių ir duomenų apdorojimo tarnybos paslaugos (KIS ""Savivaldybė""). Administracijos direktoriaus rezervas";Y;N;17-JUN-08;27-JAN-14
1000052;"LR finansų ministerijos tarpusavio atsiskaitymai";Y;N;14-MAR-08;11-JAN-12
1000053;"Centrinės institucijos išlaikymas (Socialinės globos teikimo asmenims su sunkia negalia paslaugos administravimas)";Y;N;14-MAR-08;20-FEB-17
1000054;"Gyventojų gyvenamosios vietos deklaravimo duomenų ir gyvanamosios vietos neturinčių asmenų apskaitos duomenų tvarkymas";Y;N;14-MAR-08;23-MAR-09
1000055;"Bendri darbo reikalai, darbo politikos formavimas ir įgyvendinimas (Viešųjų darbų administravimas)";Y;N;19-MAR-08;20-FEB-17
1000056;"Bendrų ekonominių ir socialinių planavimo paslaugų administravimas ir valdymas (Turto departamentas)";Y;N;14-MAR-08;19-SEP-19
1000057;"Centrinės institucijos išlaikymas (Socialinės paramos mokiniams administravimas)";Y;N;14-MAR-08;01-DEC-20
1000058;"Bendri darbo reikalai, darbo politikos formavimas ir įgyvendinimas (Neįgaliųjų socialinė integracija)";Y;N;14-MAR-08;14-MAR-08
1000059;"Gyventojų gyvenamosios vietos deklaravimo duomenų ir gyvanamosios vietos neturinčių asmenų apskaitos duomenų tvarkymas";Y;N;14-MAR-08;23-MAR-09
1000060;"Bendrų ekonominių ir socialinių planavimo paslaugų administravimas ir valdymas";Y;N;20-NOV-07;23-MAR-09
1000061;"Institucijos valdymo išlaidos  (Inovacijų ir technologijų grupė, Klientų aptarnavimo skyrius)";Y;N;17-DEC-08;19-SEP-19
1000062;"Institucijos valdymo išlaidos (Administracinės veiklos skyrius, Administracinių bylų nagrinėjimo skyrius, Administracinių nusižengimų tyrimo skyrius, Viešosios tvarkos skyrius). Darbo užmokestis";Y;N;18-DEC-08;27-DEC-19
1000063;"Institucijos valdymo išlaidos (Mero fondas)";Y;N;15-MAY-09;27-DEC-19
1000064;"Finansų valdymo ir apskaitos sistema";Y;N;30-SEP-09;30-SEP-09
1000065;"Bendruomenių kalėdinių ir naujametinių renginių organizavimas seniūnijose (AD 2009-12-14 įsakymas Nr. 30-2172)";Y;N;16-DEC-09;16-DEC-09
1000066;"Vilniaus miesto savivaldybės administracijos tipinių veiklos procesų ir procedūrų visapusiškas tyrimas ir optimizavimas";Y;N;10-FEB-10;10-FEB-10
1000067;"Kompleksinis paslaugų teikimo „vieno langelio“ principu  tobulinimas";Y;N;10-FEB-10;10-FEB-10
1000068;"Vilniaus apskrities vyriausiojo policijos komisariato Patrulių rinktinės pareigūnų skatinimas (AD 2010-03-04 įsakymas Nr. 30-486)";Y;N;08-MAR-10;08-MAR-10
1000069;"Kitos jokiai grupei nepriskirtos bendros valstybės paslaugos (Tarptautinių organizacijų ir LSA nario mokesčiai)";Y;N;07-JAN-19;07-JAN-19
1000070;Nenaudojama;Y;N;20-NOV-07;27-DEC-19
1000071;"Kitos jokiai grupei nepriskirtos bendros valstybės paslaugos (Rinkodaros ir komunikacijos skyriaus kitos išlaidos)";Y;N;07-JAN-19;07-JAN-19
1000072;"Viešosios tvarkos ir visuomenės saugumo mieste užtikrinimas (AD 2010-05-18 įsakymas Nr. 30-1128)";Y;N;19-MAY-10;19-MAY-10
1000073;"Administracinio pastato remonto darbai (AD 2010-10-29 įsakymas Nr. 30-1944)";Y;N;15-NOV-10;15-NOV-10
1000074;"Renginio „Jonui Jablonskiui-150“ organizavimas (AD 2010-11-30 įsakymas Nr. 30-2086)";Y;N;06-DEC-10;06-DEC-10
1000075;"Elektroninių paslaugų sistemos diegimas ir plėtra Vilniaus regione";Y;N;02-MAR-11;02-MAR-11
1000076;"2010-2011 metų nelegalių grafitų prevencijos Vilniaus miesto savivaldybėje programos įgyvendinimas (AD 2011-04-21 įsakymas Nr. 30-648)";Y;N;02-MAY-11;02-MAY-11
1000077;"Saugaus miesto departamento veiklos vykdymas (AD 2011-06-30 įsakymas Nr. 30-891)";Y;N;07-JUL-11;07-JUL-11
1000078;"Socialinių išmokų ir kompensacijų administravimas";Y;N;13-JUL-11;13-JUL-11
1000079;"Socialinių išmokų ir kompensacijų administravimas (LRV 2011-08-17 nutarimas Nr. 960)";Y;N;01-SEP-11;01-SEP-11
1000080;Nenaudojama;Y;N;20-NOV-07;03-NOV-11
1000081;"Socialinių išmokų ir kompensacijų administravimas (LRV 2011-10-19 nutarimas Nr. 1207)";Y;N;03-NOV-11;03-NOV-11
