BIUDZETAS,ASIGNAVIMU_VALDYTOJAS,AV_DESCRIPTION,FIN_SALTINIS,FIN_DESCRIPTION,PRIEMONE,PRIEM_DESCRIPTION,PROGRAMA,PROG_DESCRIPTION,TIKSLAS,TIKSL_DESCRIPTION,FUNKCINE_KLAS,FUNK_DESCRIPTION,EKONOMINE_KLAS,EKON_DESCRIPTION,EKON_TIPAS,SAMATA,SAM_DESCRIPTION,PROG_VYKD,PROG_VYKD_DESCRIPTION,METINE_SUMA,I_KETV,II_KETV,III_KETV,IV_KETV
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010102,"Antakalnio seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170101,"Antakalnio seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000002,"Antakalnio seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",16300,,,5000,11300
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17010102,"Antakalnio seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170101,"Antakalnio seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000003,"Antakalnio seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",2200,,,2200,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010101,"Antakalnio bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170101,"Antakalnio seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000001,"Antakalnio bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,1400,1500
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010201,"Fabijoniškių bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170102,"Fabijoniškių seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000011,"Fabijoniškių bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,1400,0,1500
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17010202,"Fabijoniškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170102,"Fabijoniškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000013,"Fabijoniškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",4700,,,4700,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010202,"Fabijoniškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170102,"Fabijoniškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000012,"Fabijoniškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",9600,,,4800,4800
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010301,"Grigiškių bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170103,"Grigiškių seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000021,"Grigiškių bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,2000,900
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010302,"Grigiškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170103,"Grigiškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000022,"Grigiškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",7000,,,7000,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010402,"Justiniškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170104,"Justiniškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000032,"Justiniškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",8200,,,,8200
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010401,"Justiniškių bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170104,"Justiniškių seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000031,"Justiniškių bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,,2900
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010501,"Karoliniškių bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170105,"Karoliniškių seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000041,"Karoliniškių bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,1900,0,1000
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17010502,"Karoliniškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170105,"Karoliniškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000043,"Karoliniškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",5700,,5700,0,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010502,"Karoliniškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170105,"Karoliniškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000042,"Karoliniškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",8400,,4000,0,4400
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010602,"Lazdynų seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170106,"Lazdynų seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000052,"Lazdynų seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",9900,,,9900,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010601,"Lazdynų bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170106,"Lazdynų seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000051,"Lazdynų bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,2000,0,900
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17010702,"Naujamiesčio seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170107,"Naujamiesčio seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000063,"Naujamiesčio seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",13000,,,13000,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010702,"Naujamiesčio seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170107,"Naujamiesčio seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000062,"Naujamiesčio seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",7800,,7800,0,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010701,"Naujamiesčio bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170107,"Naujamiesčio seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000061,"Naujamiesčio bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,1400,0,1500
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17010802,"Naujininkų seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170108,"Naujininkų seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000073,"Naujininkų seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",25600,,,,25600
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010801,"Naujininkų bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170108,"Naujininkų seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000071,"Naujininkų bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,2900,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010802,"Naujininkų seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170108,"Naujininkų seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000072,"Naujininkų seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",11800,,,,11800
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010901,"Naujosios Vilnios bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170109,"Naujosios Vilnios seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000081,"Naujosios Vilnios bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,2700,0,200
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010902,"Naujosios Vilnios seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170109,"Naujosios Vilnios seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000082,"Naujosios Vilnios seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",12400,,,8500,3900
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17011002,"Panerių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170110,"Panerių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000093,"Panerių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",4200,,4200,0,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011002,"Panerių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170110,"Panerių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000092,"Panerių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",11700,,,11700,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011001,"Panerių bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170110,"Panerių seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000091,"Panerių bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,900,0,2000
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011101,"Pašilaičių bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170111,"Pašilaičių seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000101,"Pašilaičių bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,1500,0,1400
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17011102,"Pašilaičių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170111,"Pašilaičių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000103,"Pašilaičių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",2400,,,2400,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011102,"Pašilaičių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170111,"Pašilaičių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000102,"Pašilaičių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",8900,,,8900,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011201,"Pilaitės bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170112,"Pilaitės seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000111,"Pilaitės bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,,2900
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011202,"Pilaitės seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170112,"Pilaitės seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000112,"Pilaitės seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",8400,,8400,0,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011302,"Rasų seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170113,"Rasų seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000122,"Rasų seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",7300,,,7300,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011301,"Rasų bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170113,"Rasų seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000121,"Rasų bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,,2900
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011402,"Senamiesčio  seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170114,"Senamiesčio seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000132,"Senamiesčio seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",7400,,,7400,0
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17011402,"Senamiesčio  seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170114,"Senamiesčio seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000133,"Senamiesčio seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",4900,,,4900,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011401,"Senamiesčio  bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170114,"Senamiesčio seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000131,"Senamiesčio bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,2900,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011501,"Šeškinės bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170115,"Šeškinės seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000141,"Šeškinės bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,2300,0,600
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011502,"Šeškinės seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170115,"Šeškinės seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000142,"Šeškinės seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",8700,,5700,3000,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011601,"Šnipiškių bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170116,"Šnipiškių seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000151,"Šnipiškių bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,1700,1200
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011602,"Šnipiškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170116,"Šnipiškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000152,"Šnipiškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",6900,,6900,0,0
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17011602,"Šnipiškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170116,"Šnipiškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000153,"Šnipiškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",20800,,,20800,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011702,"Verkių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170117,"Verkių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000162,"Verkių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",16500,,,16500,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011701,"Verkių bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170117,"Verkių seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000161,"Verkių bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,500,1200,1200
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17011702,"Verkių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170117,"Verkių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000163,"Verkių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",26100,,,26100,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011802,"Vilkpėdės seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170118,"Vilkpėdės seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000172,"Vilkpėdės seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",8500,,,8500,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011801,"Vilkpėdės bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170118,"Vilkpėdės seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000171,"Vilkpėdės bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,,2900
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011901,"Viršuliškių bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170119,"Viršuliškių seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000181,"Viršuliškių bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,,2900
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17011902,"Viršuliškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170119,"Viršuliškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000182,"Viršuliškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",6800,,,,6800
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17012001,"Žirmūnų bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170120,"Žirmūnų seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000191,"Žirmūnų bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,2000,0,900
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17012002,"Žirmūnų seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170120,"Žirmūnų seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000192,"Žirmūnų seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",10100,,,10100,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17012102,"Žvėryno seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170121,"Žvėryno seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000202,"Žvėryno seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",6500,,,6500,0
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17012102,"Žvėryno seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170121,"Žvėryno seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000203,"Žvėryno seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",9300,,,9300,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17012101,"Žvėryno bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170121,"Žvėryno seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000201,"Žvėryno bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,,2900
"2017 M VMS PROJ",191645111,"BĮ Vilniaus sutrikusio vystymosi kūdikių namai",01K2,"Savivaldybės biudžeto lėšos (pagal teisės aktus savivaldybėms perduotoms įstaigoms išlaikyti)",03010601,"Vilniaus sutrikusio vystymosi kūdykių namų išlaikymas",03,"Sveikatos apsauga",030106,"Vaikų neįgalumo raidos sutrikimų mažinimas, vaikų integracijos į visuomemę skatinimas",07.03.02.01.,"Specializuotų ligoninių paslaugos",2.2.1.1.1.2.,"Medikamentai (ir darbuotojų sveikatos tikrinimas)",KITOS,6000555,"Vilniaus sutrikusio vystymosi kūdikių namų išlaikymas",188712831,"Socialinių reikalų ir sveikatos departamentas",6800,1800,1600,1800,1600
