DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA;SISTEMINIS_NUMERIS;
"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"A72-722/14";"2014";"10-APR-14";"14-APR-15";"nuasmeninta";"nuasmeninta";"VILNIAUS MIESTO NEKILNOJAMOJO KULTŪROS PAVELDO VERTINIMO TARYBOS NARIO ATLYGINTINŲ PASLAUGŲ TEIKIMO SUTARTIS (Samukiene)";"";"5722";
"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"A72-724/14";"0201";"10-APR-01";"14-APR-15";"nuasmeninta";"nuasmeninta";"VILNIAUS MIESTO NEKILNOJAMOJO KULTŪROS PAVELDO VERTINIMO TARYBOS NARIO ATLYGINTINŲ PASLAUGŲ TEIKIMO SUTARTIS (Zilinskas)";"";"5723";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A64-33(3.10.22-FN4)";"2013";"14-MAY-13";"23-MAY-15";"Kalba.lt, UAB";"235980580";"ES kalbų mokymo paslaugų teikimo sutartis";"70015.64";"5540";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A64-36/14(3.10.22-EM)";"2014";"21-MAR-14";"20-MAR-15";"Idamas, UAB";"125838158";"„Gyvūnų registracijos“ pakeitimai pasikeitus teisės aktams pirkimo sutartis";"2873.61";"5852";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A62-71/14(3.10.21-AD4)";"2014";"03-JUL-14";"03-JUL-17";"Tiltuva, UAB";"120144379";"Keleivinio transporto stotelėse suolų įrengimo, išmontavimo ir suolų medinės dalies pakeitimo darbai";"";"5902";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A62-72/14(3.10.21-AD4)";"2014";"03-JUL-14";"03-JUL-17";"Tiltuva, UAB";"120144379";"Transporto laukimo paviljonų (antivandalinių) galinėse transporto laukimo stotelėse įrengimo ir remonto darbai";"";"5903";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A64-89/14(3.10.22-AD4)";"2014";"03-JUL-14";"03-JUL-17";"INNTEC";"302892992";"Kapinių valdymo sistemos įdiegimo paslaugos";"";"5904";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1450/14(2.1.4-SR7)";"2014";"08-JUL-14";"07-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"1882.53";"5929";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1450/14(2.1.4-SR7)";"2014";"08-JUL-14";"07-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"366.17";"5930";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1526/14(2.1.4-SR7)";"2014";"28-JUL-14";"27-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"92.14";"6057";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1526/14(2.1.4-SR7)";"2014";"28-JUL-14";"27-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"8.25";"6058";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1526/14(2.1.4-SR7)";"2014";"28-JUL-14";"27-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"1746.41";"6059";
"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";"A64-63/14(3.10.22-AD4)";"2014";"12-MAY-14";"12-MAY-15";"Zona optima, UAB";"186077963";"2013-05-23 sutarties Nr.A62-13(3.10.21-UK) "Gatvių pavadinimų lentelių, statinių numerių gamyba ir tvirtinimo darbai" pratęsimas";"";"5802";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A64-138(3.10.22-AP)";"2013";"08-NOV-13";"07-NOV-16";"Registrų centras Vilniaus filialas, VĮ";"124208338";"Inžinerinių tinklų, įrengimų ir įrenginių, pastatų, patalpų ir kito nekilnojamojo turto vertinimas";"26065.8";"5826";
"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"30-1919";"2012";"28-SEP-12";"31-DEC-17";"Vilkpėdės būstas, UAB";"121480265";"Įsakymas dėl UAB Vilkpėdės būstas skyrimo administratore";"";"5849";
"Vilniaus miesto savivaldybės administracija";"Finansavimo sutartis";"A72-1159/14(3.1.36-AD4)";"2014";"25-JUN-14";"25-JUN-15";"Vilniaus turizmo informacijos centras VŠĮ";"123641468";"Dotacijos iš savivaldybės biudžeto skyrimo sutartis";"115848.01";"5890";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A64-88/14(3.10.22-AD4)";"2014";"30-JUN-14";"29-JUN-17";"Ingenious IT, UAB";"302553554";"Finansų valdymo ir apskaitos sistemos vystymo, palaikymo ir konsultavimo paslaugų pirkimo sutartis";"";"5900";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1439/14(2.1.4-SR7)";"2014";"03-JUL-14";"02-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"492.64";"5916";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1439/14(2.1.4-SR7)";"2014";"03-JUL-14";"02-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"2823.8";"5918";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1439/14(2.1.4-SR7)";"2014";"03-JUL-14";"02-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"892.92";"5919";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1439/14(2.1.4-SR7)";"2014";"03-JUL-14";"02-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"2432.81";"5920";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1439/14";"2014";"03-JUL-14";"02-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"2143.48";"5921";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"Nr. A15-1182/14(2.1.4-SR7)";"2014";"28-MAY-14";"27-MAY-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"1198.6";"5840";
