BIUDZETAS;SEGMENT1;SEGMENT2;SEGMENT3;SEGMENT4;SEGMENT5;SEGMENT6;SEGMENT7;SEGMENT8;SEGMENT9;SEGMENT10;METINE_SUMA;I_KETV;II_KETV;III_KETV;IV_KETV
"2022 VMS IV K.";190008065;0000000;01;201010102;09.02.01.01.;2.2.1.1.1.2.;4000150;21070;000000000;0000000;300;300;300;0;-300
"2022 VMS IV K.";191715620;0000000;01;201010102;09.02.02.01.;2.2.1.1.1.2.;4000152;21070;000000000;0000000;300;100;100;100;0
"2022 VMS IV K.";191713427;0000000;01;201010102;09.02.02.01.;2.2.1.1.1.2.;4000152;21070;000000000;0000000;200;100;100;0;0
"2022 VMS IV K.";304028651;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.20.1.;4000010;21070;000000000;0000000;21100;11000;2600;0;7500
"2022 VMS IV K.";191326124;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.20.1.;4000010;21070;000000000;0000000;22300;13700;1900;0;6700
"2022 VMS IV K.";190025552;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.20.1.;4000010;21070;000000000;0000000;33300;19600;3200;0;10500
"2022 VMS IV K.";190023359;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.20.1.;4000010;21070;000000000;0000000;37100;23200;3000;0;10900
"2022 VMS IV K.";190021689;0000000;01;201030105;09.01.02.01.;2.2.1.1.1.20.1.;4000080;21070;000000000;0000000;31100;19200;2600;0;9300
"2022 VMS IV K.";191665861;0000000;01;201030105;09.01.02.01.;2.2.1.1.1.20.1.;4000080;21070;000000000;0000000;34900;19700;4200;0;11000
"2022 VMS IV K.";191713046;0000000;01;201030105;09.01.02.01.;2.2.1.1.1.20.1.;4000080;21070;000000000;0000000;37300;21600;4300;0;11400
"2022 VMS IV K.";295472120;0000000;01;201010102;09.02.01.01.;2.2.1.1.1.20.1.;4000150;21070;000000000;0000000;61100;35000;7200;0;18900
