BIUDZETAS;SEGMENT1;SEGMENT2;SEGMENT3;SEGMENT4;SEGMENT5;SEGMENT6;SEGMENT7;SEGMENT8;SEGMENT9;SEGMENT10;METINE_SUMA;I_KETV;II_KETV;III_KETV;IV_KETV
"2022 VMS IV K.";190006057;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.30.L.;4000145;21070;000000000;0000000;2400;2400;0;0;0
"2022 VMS IV K.";190021155;0000000;64;201090201;09.08.01.01.;3.1.1.2.1.3.;4000145;21070;000000000;0000000;2852;1000;0;200;1652
"2022 VMS IV K.";190025214;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.5.;4000145;21070;000000000;0000000;200;200;0;0;0
"2022 VMS IV K.";190013817;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.30.L.;4000145;21070;000000000;0000000;11360;939;31;10360;30
"2022 VMS IV K.";190028477;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.30.L.;4000145;21070;000000000;0000000;10330;10330;0;0;0
"2022 VMS IV K.";190021689;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.30.L.;4000145;21070;000000000;0000000;14049;10001;0;0;4048
"2022 VMS IV K.";190022257;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.30.L.;4000145;21070;000000000;0000000;15873;2573;0;10200;3100
"2022 VMS IV K.";290029950;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.30.L.;4000145;21070;000000000;0000000;17512;14092;0;0;3420
"2022 VMS IV K.";190021689;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;30283;34731;0;0;-4448
"2022 VMS IV K.";190020391;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;4465;4465;0;0;0
"2022 VMS IV K.";190023697;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;24636;27329;0;0;-2693
"2022 VMS IV K.";190028139;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;30937;71457;0;-37320;-3200
"2022 VMS IV K.";190028477;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;16148;16148;0;0;0
"2022 VMS IV K.";190028858;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;14137;31137;0;0;-17000
"2022 VMS IV K.";190029198;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;21799;21799;0;0;0
"2022 VMS IV K.";190032899;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;37970;37970;0;0;0
"2022 VMS IV K.";190019460;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;5656;10319;0;0;-4663
"2022 VMS IV K.";190007159;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;1595;1595;0;0;0
"2022 VMS IV K.";190006057;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;2010;2010;0;0;0
"2022 VMS IV K.";190009886;0000000;64;201090202;09.08.01.01.;2.1.2.1.1.1.;4000238;21070;000000000;0000000;23;23;0;0;0
"2022 VMS IV K.";190021917;0000000;25;201090101;09.01.01.01.;2.2.1.1.1.30.L.;4000060;21070;000000000;0000000;300;100;0;100;100
"2022 VMS IV K.";190020815;0000000;25;201090101;09.01.01.01.;2.2.1.1.1.30.L.;4000060;21070;000000000;0000000;200;300;400;0;-500
"2022 VMS IV K.";190031982;0000000;25;201090101;09.01.01.01.;2.2.1.1.1.30.L.;4000060;21070;000000000;0000000;100;;100;0;0
"2022 VMS IV K.";190021155;0000000;25;201090101;09.01.01.01.;2.2.1.1.1.30.L.;4000060;21070;000000000;0000000;200;;;200;0
"2022 VMS IV K.";190004387;0000000;25;201090103;09.02.02.01.;2.2.1.1.1.15.;4000220;21070;000000000;0000000;7000;3000;2000;2000;0
"2022 VMS IV K.";301806652;0000000;25;201090103;09.02.02.01.;2.2.1.1.1.30.L.;4000220;21070;000000000;0000000;1000;500;500;500;-500
"2022 VMS IV K.";190003851;0000000;25;201090103;09.02.02.01.;2.2.1.1.1.2.;4000220;21070;000000000;0000000;100;;;;100
"2022 VMS IV K.";191317260;0000000;25;201090103;09.02.02.01.;2.2.1.1.1.15.;4000220;21070;000000000;0000000;2100;500;1000;600;0
"2022 VMS IV K.";190021917;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.5.;4000070;21070;000000000;0000000;500;100;100;0;300
"2022 VMS IV K.";190018935;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.5.;4000070;21070;000000000;0000000;100;100;0;0;0
"2022 VMS IV K.";190011951;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;14400;;5000;5000;4400
"2022 VMS IV K.";190011951;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.21.;4000070;21070;000000000;0000000;4000;1000;1000;1000;1000
"2022 VMS IV K.";190023882;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;11100;5000;5000;1100;0
"2022 VMS IV K.";190032931;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.5.;4000070;21070;000000000;0000000;200;200;0;0;0
"2022 VMS IV K.";190028858;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.30.L.;4000070;21070;000000000;0000000;8100;3000;2000;2100;1000
"2022 VMS IV K.";190023359;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.7.;4000070;21070;000000000;0000000;1000;;500;500;0
"2022 VMS IV K.";190016546;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.30.L.;4000070;21070;000000000;0000000;8000;2600;2500;1000;1900
"2022 VMS IV K.";190017267;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;2200;;2200;0;0
"2022 VMS IV K.";190019656;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;2000;1000;300;400;300
"2022 VMS IV K.";190013436;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.2.;4000070;21070;000000000;0000000;600;100;100;200;200
"2022 VMS IV K.";190013436;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;16500;13200;0;3300;0
"2022 VMS IV K.";190032899;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.2.;4000070;21070;000000000;0000000;400;100;100;100;100
"2022 VMS IV K.";190026120;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.30.L.;4000070;21070;000000000;0000000;29200;14100;13200;-100;2000
"2022 VMS IV K.";190013589;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;3000;1000;1000;0;1000
"2022 VMS IV K.";190031982;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.2.;4000070;21070;000000000;0000000;500;500;0;0;0
"2022 VMS IV K.";190031982;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;4600;1000;3000;0;600
"2022 VMS IV K.";302716948;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.2.;4000070;21070;000000000;0000000;400;100;100;100;100
"2022 VMS IV K.";190032212;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;2000;1000;1000;0;0
"2022 VMS IV K.";290023730;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;7000;4000;3000;0;0
"2022 VMS IV K.";290023730;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.21.;4000070;21070;000000000;0000000;2000;500;500;500;500
"2022 VMS IV K.";190015444;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.21.;4000070;21070;000000000;0000000;400;100;100;100;100
"2022 VMS IV K.";190022257;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;10000;10000;0;0;0
"2022 VMS IV K.";190011613;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;21000;4000;5000;12000;0
"2022 VMS IV K.";190028662;0000000;20;201090201;09.01.01.01.;3.1.2.1.1.2.;4000070;21070;000000000;0000000;100;100;0;0;0
"2022 VMS IV K.";190013055;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.1.;4000070;21070;000000000;0000000;58000;14300;14300;14300;15100
"2022 VMS IV K.";190016927;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.1.;4000070;21070;000000000;0000000;25700;6300;6300;6300;6800
"2022 VMS IV K.";190028096;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.1.;4000070;21070;000000000;0000000;67500;16700;16700;16700;17400
"2022 VMS IV K.";190030880;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.1.;4000070;21070;000000000;0000000;60700;17600;17600;14600;10900
"2022 VMS IV K.";190033848;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.1.;4000070;21070;000000000;0000000;64800;16000;16000;16000;16800
"2022 VMS IV K.";190015782;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;15000;2000;5000;5000;3000
"2022 VMS IV K.";190015782;0000000;20;201090201;09.01.01.01.;3.1.1.2.1.3.;4000070;21070;000000000;0000000;4000;1000;1000;1000;1000
"2022 VMS IV K.";190016927;0000000;20;201090201;09.01.01.01.;3.1.1.2.1.3.;4000070;21070;000000000;0000000;3000;;;3000;0
"2022 VMS IV K.";190017071;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;5000;;2500;2500;0
"2022 VMS IV K.";190021874;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;20000;5000;5000;5000;5000
"2022 VMS IV K.";190020434;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.2.;4000070;21070;000000000;0000000;400;100;100;100;100
"2022 VMS IV K.";190016012;0000000;20;201090201;09.01.01.01.;3.1.1.2.1.3.;4000070;21070;000000000;0000000;8000;;4000;4000;0
"2022 VMS IV K.";190033990;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.7.;4000070;21070;000000000;0000000;1000;;1000;0;0
