Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
4.2.1.1.P.	4.2.1.1.P.	Grynieji pinigai ir indëliai banke (nacionaline valiuta)				.PAJAMOS.850.	
4.2.1.2.	4.2.1.2.	Vertybiniai popieriai (parduoti), iðskyrus akcijas	*			.PAJAMOS.860.	
4.2.1.2.1.	4.2.1.2.1.	Vertybiniai popieriai (parduoti), iðskyrus akcijas	*			.PAJAMOS.862.	
4.2.1.2.1.1.	4.2.1.2.1.1.	Trumpalaikiai	*			.PAJAMOS.864.	
4.2.1.2.1.1.P.	4.2.1.2.1.1.P.	Trumpalaikiai				.PAJAMOS.865.	
4.2.1.2.1.2.	4.2.1.2.1.2.	Ilgalaikiai	*			.PAJAMOS.866.	
4.2.1.2.1.2.P.	4.2.1.2.1.2.P.	Ilgalaikiai				.PAJAMOS.867.	
4.2.1.2.1.P.	4.2.1.2.1.P.	Vertybiniai popieriai (parduoti), iðskyrus akcijas				.PAJAMOS.863.	
4.2.1.2.P.	4.2.1.2.P.	Vertybiniai popieriai (parduoti), iðskyrus akcijas				.PAJAMOS.861.	
4.2.1.3.	4.2.1.3.	Iðvestinës finansinës priemonës	*			.PAJAMOS.868.	
4.2.1.3.1.	4.2.1.3.1.	Iðvestinës finansinës priemonës	*			.PAJAMOS.870.	
4.2.1.3.1.1.	4.2.1.3.1.1.	Trumpalaikës	*			.PAJAMOS.872.	
4.2.1.3.1.1.P.	4.2.1.3.1.1.P.	Iðvestinës finansinës priemonës				.PAJAMOS.873.	
4.2.1.3.1.2.	4.2.1.3.1.2.	Ilgalaikiai	*			.PAJAMOS.874.	
4.2.1.3.1.P.	4.2.1.3.1.P.	Iðvestinës finansinës priemonës				.PAJAMOS.871.	
4.2.1.3.P.	4.2.1.3.P.	Iðvestinës finansinës priemonës				.PAJAMOS.869.	
4.2.1.4.	4.2.1.4.	Paskolos (surinktos)	*			.PAJAMOS.875.	
4.2.1.4.1.	4.2.1.4.1.	Paskolos (surinktos)	*			.PAJAMOS.877.	
4.2.1.4.1.1.	4.2.1.4.1.1.	Trumpalaikës	*			.PAJAMOS.879.	
4.2.1.4.1.1.P.	4.2.1.4.1.1.P.	Trumpalaikës				.PAJAMOS.880.	
