Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
0251	0251	Socialinei prieþiûrai socialinës rizikos ðeimoms	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0252	0252	Soc. globai asmenims su sunkia negalia	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip.Taip.7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0253	0253	Pagal finansiniø rodikliø ástatymo 6 priedëlá	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0254	0254	Socialinei paramai mokiniams administruoti	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0265	0265	Socialinei paramai mokiniams	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0266	0266	Socialinëms paslaugoms	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0267	0267	Bûsto nuomos ar iðperkamosios bûsto nuomos mokesèiø dalies kompensacijoms	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0273	0273	Dalyvauti rengiant ir ágyvendinant darbo rinkos politikos priemones ir gyventojø uþimtumo programas	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0274	0274	Ið apskrièiø perduotoms ástaigoms iðlaikyti (ðvietimo (be mokinio krepðelio)	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0275	0275	Ið apskrièiø perduotoms ástaigoms iðlaikyti (socialinës apsaugos)	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
