Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
01030106	01030106	Vilniaus vaikø invalidø ugdymo centro "Viltis" infrastruktûros plëtra ir modernizavimas	*			..Ne....Ne...	
01030106001	01030106001	Vilniaus vaikø invalidø ugdymo centro "Viltis" infrastruktûros plëtra ir modernizavimas	*			..Taip.......	
01030107	01030107	Specialaus lopðelio-darþelio "Èiauðkutis" infrastruktûros projektas	*			..Ne....Ne...	
01030107001	01030107001	Neágaliøjø ir sutrikusio intelekto vaikø socialinës globos centro ákûrimas (Vilniaus specialiajame lopðelyje-darþelyje „Èiauðkutis“)	*			..Taip.......	
01030108	01030108	Infrastruktûros plëtros projektø rengimas	*			..Ne.......	
01030108001	01030108001	Infrastruktûros plëtros projektø rengimas	*			..Taip.......	
01030109	01030109	Energijos efektyvumo didinimo projektai ( 6 ikimokyklinio ugdymo ástaigos)	*			..Ne.......	
01030110	01030110	 Programinës árangos ásigijimo iðlaidø finansavimas ikimokyklinio ugdymo ástaigose	*			..Ne.......	
01030111	01030111	Ikimokykliniø ástaigø vadovø kvalifikacijos këlimas	*			..Ne.......	
01030112	01030112	 Ikimokykliniø ástaigø grupiø atidarymas	*			..Ne.......	
0104	0104	Ðvietimo ástaigø aptarnavimo kokybës vadyba	*			..Ne....Ne...	
010401	010401	Finansuoti ástaigas sprendþiant ûkines ir finansines problemas, iðlaikyti ir pagerinti mokyklø pedagoginio, vadovaujamojo ir kitokio ugdymo procese dalyvaujanèio personalo kokybinæ sudëtá	*			..Ne....Ne...	
01040101	01040101	Atitinkamos kvalifikacijos darbo jëgos samda, aprûpinimas bûtinomis darbo priemonëmis ir sàlygø darbui sudarymas	*			..Ne....Ne...	
01040102	01040102	Ilgalaikio turto ásigijimas	*			..Ne....Ne...	
01040103	01040103	Psichologinës-pedagoginës tarnybos finansavimas	*			..Ne....Ne...	
01040104	01040104	Ðvietimo strategijos ágyvendinimas	*			..Ne....Ne...	
0105	0105	Remti kultûros ir ðvietimo centrus	*			..Ne....Ne...	
010501	010501	Finansuoti ðvietimà Romø visuomenës centre	*			..Ne....Ne...	
01050101	01050101	Aprûpinimas bûtiniausiomis darbo priemonëmis ir sàlygø darbui sudarymas	*			..Ne....Ne...	
01050102	01050102	Moksleivio krepðelio finansavimas Romø centre	*			..Ne....Ne...	
0106	0106	Remti nevalstybines ðvietimo ástaigas	*			..Ne....Ne...	
010601	010601	Finansuoti nevalstybines ugdymo ástaigas	*			..Ne....Ne...	
01060101	01060101	Moksleivio krepðelio finansavimas	*			..Ne....Ne...	
0107	0107	Apmokëti susidariusias áskolas	*			..Ne....Ne...	
010701	010701	Áskolø apmokëjimas	*			..Ne....Ne...	
01070101	01070101	Apmokëjimas FAPM uþ 1997-1999 metus ikimokyklinëse ástaigose	*			..Ne....Ne...	
01070102	01070102	Apmokëjimas FAPM ir kiti BÁBOS ásipareigojimai	*			..Ne....Ne...	
